exported_at,pipeline,kind,entity,value,last_changed
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_3,20.2,2026-08-21T03:56:45.105992+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_4,0.0,2026-08-20T01:26:37.603925+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_5,0.0,2026-08-20T01:26:37.604002+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_6,0.0,2026-08-20T01:26:37.604074+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_number.runtime_per_cdd_day_7,0.0,2026-08-20T01:26:37.604143+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_cdd,accumulator,input_datetime.runtime_per_cdd_capture_last_ok,2026-08-20 23:56:45,2026-08-21T03:56:45.131270+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_1,0.0,2026-08-20T01:26:37.600030+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_2,0.0,2026-08-20T01:26:37.600112+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_3,0.0,2026-08-20T01:26:37.600180+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_4,0.0,2026-08-20T01:26:37.600246+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_5,0.0,2026-08-20T01:26:37.600325+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_6,0.0,2026-08-20T01:26:37.600403+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_number.runtime_per_hdd_day_7,0.0,2026-08-20T01:26:37.600474+00:00
2026-08-21T10:38:52,capture_daily_runtime_per_hdd,accumulator,input_datetime.runtime_per_hdd_capture_last_ok,2026-08-20 23:56:00,2026-08-21T03:56:00.492606+00:00
2026-08-22T00:20:00,archive_monthly_cdd,accumulator,input_datetime.cdd_archive_last_ok,2026-08-21 00:00:00,2026-08-22T01:48:03.822446+00:00
2026-08-22T00:20:00,archive_monthly_gas_heat_cost,accumulator,input_datetime.gas_heat_cost_archive_last_ok,2026-08-21 00:00:00,2026-08-22T01:48:03.822552+00:00
2026-08-22T00:20:00,archive_monthly_hdd,accumulator,input_datetime.hdd_archive_last_ok,2026-08-21 00:00:00,2026-08-22T01:48:03.822336+00:00
2026-08-22T00:20:00,capture_daily_ac_cost,accumulator,input_number.ac_cost_year_acc,168.5,2026-08-22T03:59:45.238284+00:00
2026-08-22T00:20:00,capture_daily_ac_cost,accumulator,input_datetime.ac_cost_capture_last_ok,2026-08-21 23:59:45,2026-08-22T03:59:45.240319+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_1,21.0,2026-08-22T03:55:30.359167+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_2,18.2,2026-08-22T03:55:30.355217+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_3,22.9,2026-08-22T03:55:30.334677+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_4,38.2,2026-08-22T03:55:30.330269+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_5,13.3,2026-08-22T03:55:30.323513+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_6,35.5,2026-08-22T03:55:30.313506+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_number.ac_min_per_cycle_day_7,31.8,2026-08-22T03:55:30.304681+00:00
2026-08-22T00:20:00,capture_daily_ac_min_per_cycle,accumulator,input_datetime.ac_min_per_cycle_capture_last_ok,2026-08-21 23:55:30,2026-08-22T03:55:30.364196+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_1,2275.3,2026-08-22T03:59:00.318000+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_2,2428.4,2026-08-22T03:59:00.316576+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_3,2468.0,2026-08-22T03:59:00.314500+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_4,2472.9,2026-08-22T03:59:00.312965+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_5,2579.5,2026-08-22T03:59:00.310264+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_6,2455.4,2026-08-22T03:59:00.308888+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_number.ac_running_watts_day_7,2554.0,2026-08-22T03:59:00.307413+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_datetime.ac_spc_last_capture,2026-08-21,2026-08-22T03:59:00.321955+00:00
2026-08-22T00:20:00,capture_daily_ac_watts,spc,input_datetime.ac_spc_last_seed,2026-08-21,2026-08-22T01:48:03.825735+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_1,3.8,2026-08-22T03:55:15.124571+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_2,5.9,2026-08-22T03:55:15.120671+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_3,8.6,2026-08-22T03:55:15.117263+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_4,9.5,2026-08-22T03:55:15.105684+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_5,5.1,2026-08-22T03:55:15.104202+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_6,2.4,2026-08-22T03:55:15.102170+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_number.cdd_day_7,2.6,2026-08-22T03:55:15.097064+00:00
2026-08-22T00:20:00,capture_daily_cdd,accumulator,input_datetime.cdd_capture_last_ok,2026-08-21 23:55:15,2026-08-22T03:55:15.128169+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_1,1.09,2026-08-22T03:59:00.301529+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_2,1.41,2026-08-22T03:59:00.299989+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_3,1.5,2026-08-22T03:59:00.294896+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_4,0.87,2026-08-22T03:59:00.291042+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_5,0.22,2026-08-22T03:59:00.285639+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_6,0.48,2026-08-22T03:59:00.280380+00:00
2026-08-22T00:20:00,capture_daily_cooling_kwh_cdd,spc,input_number.cooling_kwh_cdd_day_7,0.23,2026-08-22T03:59:00.273489+00:00
