Month,Day,HDD65_mean,HDD65_min,HDD65_max,HDD65_p10,HDD65_p90,CDD65_mean,CDD65_min,CDD65_max,CDD65_p10,CDD65_p90,Tmean_mean,Tmin_mean,Tmax_mean,Samples,DayOfYear
5,7,8.119999999999997,0.0,19.049999999999997,0.0,19.049999999999997,0.42999999999999733,0.0,1.289999999999992,0.0,1.289999999999992,57.309999999999995,46.419999999999995,68.19999999999999,18,127
5,8,10.049999999999999,0.0,17.07,0.0,17.07,1.8399999999999987,0.0,5.519999999999996,0.0,5.519999999999996,56.79,47.84,65.74,18,128
5,9,10.050000000000002,0.0,17.340000000000003,0.0,17.340000000000003,1.5700000000000027,0.0,4.710000000000008,0.0,4.710000000000008,56.52,46.599999999999994,66.44,18,129
5,10,10.479999999999997,3.299999999999997,14.729999999999997,6.261000000000001,14.729999999999997,0.0,0.0,0.0,0.0,0.0,54.52,44.84,64.2,18,130
5,11,8.080000000000004,0.7800000000000011,11.310000000000002,0.7800000000000011,11.310000000000002,0.0,0.0,0.0,0.0,0.0,56.919999999999995,45.82,68.02,18,131
5,12,5.336666666666668,0.0,10.590000000000003,0.0,10.590000000000003,1.0466666666666684,0.0,4.710000000000008,0.0,4.710000000000008,60.71,50.78,70.64,18,132
5,13,6.009999999999999,1.8599999999999994,17.700000000000003,1.8599999999999994,10.707000000000004,0.0,0.0,0.0,0.0,0.0,58.989999999999995,49.48,68.5,18,133
5,14,6.169999999999998,1.0499999999999972,18.42,1.0499999999999972,10.482000000000006,0.0,0.0,0.0,0.0,0.0,58.830000000000005,48.620000000000005,69.04,18,134
5,15,6.8066666666666675,0.0,16.08,0.0,14.253,0.2066666666666682,0.0,0.9300000000000068,0.0,0.9300000000000068,58.400000000000006,48.56,68.24,18,135
5,16,6.3999999999999995,2.3100000000000023,13.469999999999999,2.3100000000000023,13.469999999999999,0.0,0.0,0.0,0.0,0.0,58.599999999999994,47.96,69.24,18,136
5,17,5.950000000000002,3.8400000000000034,7.890000000000001,3.8400000000000034,7.890000000000001,0.0,0.0,0.0,0.0,0.0,59.04999999999999,49.12,68.98,18,137
5,18,6.279999999999997,3.030000000000001,8.519999999999996,3.030000000000001,7.889999999999993,0.0,0.0,0.0,0.0,0.0,58.72,49.7,67.74000000000001,18,138
5,19,12.049999999999999,6.810000000000002,16.35,6.810000000000002,16.35,0.0,0.0,0.0,0.0,0.0,52.95,45.760000000000005,60.14,18,139
5,20,9.353333333333332,0.0,17.61,4.010999999999999,17.61,0.013333333333333839,0.0,0.12000000000000455,0.0,0.03600000000000145,55.66,45.940000000000005,65.38,18,140
5,21,4.973333333333333,0.0,14.100000000000001,0.0,14.100000000000001,0.8133333333333295,0.0,3.4499999999999886,0.0,1.9379999999999926,60.839999999999996,50.94,70.74,18,141
5,22,4.629999999999999,0.0,12.659999999999997,0.0,12.659999999999997,1.7199999999999989,0.0,5.159999999999997,0.0,5.159999999999997,62.09,53.76,70.42,18,142
5,23,4.816666666666666,0.0,12.209999999999994,0.0,12.209999999999994,0.0066666666666669195,0.0,0.030000000000001137,0.0,0.030000000000001137,60.190000000000005,51.96,68.42,18,143
5,24,5.629999999999998,4.019999999999996,11.400000000000006,4.019999999999996,7.683000000000003,0.0,0.0,0.0,0.0,0.0,59.370000000000005,49.419999999999995,69.32,18,144
5,25,6.8100000000000005,4.199999999999996,19.86,4.199999999999996,10.536000000000014,0.0,0.0,0.0,0.0,0.0,58.190000000000005,48.52,67.86,18,145
