date,hold_setpoint,setback_setpoint,setback_degrees,recovery_start_temp,degrees_to_recover,recovery_minutes,min_per_degree,outdoor_temp
2026-05-04 06:24,67.0,63.0,4.0,63.0,4.0,24.8,6.2,43.5
2026-05-08 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,46.7
2026-05-09 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,48.9
2026-05-12 06:14,67.0,63.0,4.0,65.0,2.0,14.0,7.0,41.7
2026-05-13 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,48.2
2026-05-15 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,48.5
2026-05-16 06:05,67.0,63.0,4.0,66.0,1.0,5.0,5.0,48.2
2026-05-24 21:20,67.0,65.0,2.0,66.0,1.0,5.0,5.0,56.2
2026-05-25 06:35,67.0,64.0,3.0,66.0,1.0,5.0,5.0,56.3
2026-05-31 06:35,68.0,64.0,4.0,67.0,1.0,5.0,5.0,41.4
2026-06-05 23:35,74.0,72.0,2.0,73.0,1.0,5.0,5.0,64.9
2026-06-10 09:25,76.0,74.0,2.0,74.0,2.0,49.9,24.9,71.8
2026-06-19 09:50,76.0,73.0,3.0,75.0,1.0,5.0,5.0,72.6
2026-06-21 06:55,74.0,73.0,1.0,73.0,1.0,5.0,5.0,61.3
2026-06-26 07:51,74.0,73.0,1.0,73.0,1.0,13.5,13.5,65.7
2026-06-30 09:59,76.0,73.0,3.0,75.0,1.0,7.8,7.8,74.6
2026-07-01 17:41,76.0,70.0,6.0,74.0,2.0,41.1,20.6,82.9
2026-07-13 20:25,76.0,73.0,3.0,74.0,2.0,41.0,20.5,78.2
2026-07-16 10:27,76.0,73.0,3.0,74.0,2.0,28.7,14.3,80.3
2026-07-17 14:42,76.0,73.0,3.0,74.0,2.0,12.4,6.2,82.5
2026-07-21 17:55,76.0,73.0,3.0,74.0,2.0,21.4,10.7,71.4
2026-07-24 16:12,76.0,73.0,3.0,75.0,1.0,7.6,7.6,82.5
2026-07-28 15:42,76.0,73.0,3.0,75.0,1.0,28.0,28.0,79.8
2026-08-04 10:17,76.0,73.0,3.0,75.0,1.0,23.9,23.9,72.8
2026-08-05 09:19,76.0,73.0,3.0,75.0,1.0,60.5,60.5,68.5
2026-08-08 12:15,78.0,73.0,5.0,75.0,3.0,208.1,69.4,81.5
2026-08-24 16:22,76.0,73.0,3.0,75.0,1.0,12.7,12.7,77.3
